"street","city","zip","lat","long","accuracy","status"
"3472 16th Street","San Francisco",94114,37.76467,-122.430304,8,200
"1663 18th Street","San Francisco",94107,37.76244,-122.398983,8,200
"4783 19th Street","San Francisco",94114,37.758742,-122.44332,8,200
"2875 21st Street #11","San Francisco",94110,37.7572,-122.411806,8,200
"2763 22nd Street","San Francisco",94110,37.755746,-122.409858,8,200
"1546 23rd Avenue","San Francisco",94122,37.75876,-122.480757,8,200
"3709 25th Street","San Francisco",94110,37.750214,-122.423153,8,200
"1240 27th Avenue","San Francisco",94122,37.764254,-122.485445,8,200
"461 2nd Street #C110","San Francisco",94107,37.783359,-122.393766,8,200
"623 3rd Avenue","San Francisco",94118,37.776878,-122.461089,8,200
"300 3rd Street #1202","San Francisco",94107,37.783511,-122.398939,8,200
"2431 46th Avenue","San Francisco",94116,37.741133,-122.504905,8,200
"630 8th Avenue","San Francisco",94118,37.776469,-122.465776,8,200
"428 8th Street #102","San Francisco",94103,37.77342,-122.408086,8,200
"1849 9th Avenue","San Francisco",94122,37.753735,-122.465922,8,200
"101 Apollo Street","San Francisco",94124,37.731437,-122.398439,8,200
"229 Brannan Street #2H","San Francisco",94107,37.782863,-122.390787,8,200
"900 Bush Street #6P","San Francisco",94109,37.789733,-122.412374,8,200
"18 Caine Avenue","San Francisco",94112,37.717954,-122.450331,8,200
"1177 California Street #223","San Francisco",94108,37.79099,-122.413658,8,200
"5041 California Street","San Francisco",94118,37.784512,-122.471723,8,200
"24 Caselli Avenue","San Francisco",94114,37.759775,-122.439974,8,200
"12 Chattanooga Street","San Francisco",94114,37.756064,-122.427039,8,200
"14 Chattanooga Street","San Francisco",94114,37.755991,-122.427048,8,200
"3140 Clay Street #8","San Francisco",94115,37.78964,-122.44483,8,200
"776 Clayton Street","San Francisco",94117,37.767521,-122.447811,8,200
"1 Daniel Burnham Court #204","San Francisco",94109,37.786958,-122.422532,8,200
"5150 Diamond Heights Boulevard #201B","San Francisco",94131,37.746441,-122.440418,8,200
"1583 Dolores Street","San Francisco",94110,37.744124,-122.424032,8,200
"77 Dow Place #1304","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #509","San Francisco",94107,37.784563,-122.396374,8,200
"2000 Eddy Street","San Francisco",94115,37.780546,-122.440801,8,200
"615 Ellsworth Street","San Francisco",94110,37.735717,-122.414661,8,200
"1169 Filbert Street","San Francisco",94109,37.800193,-122.418745,8,200
"855 Folsom Street #704","San Francisco",94107,37.780951,-122.402502,8,200
"855 Folsom Street #708","San Francisco",94107,37.780951,-122.402502,8,200
"855 Folsom Street #738","San Francisco",94107,37.780951,-122.402502,8,200
"2714 Fulton Street","San Francisco",94118,37.774325,-122.460951,8,200
"779 Gates Street","San Francisco",94110,37.733544,-122.414236,8,200
"1388 Gough Street #608","San Francisco",94109,37.786124,-122.42486,8,200
"1700 Gough Street #32","San Francisco",94109,37.789307,-122.425223,8,200
"2150 Grove Street","San Francisco",94117,37.774152,-122.452047,8,200
"170 Guerrero Street #A","San Francisco",94103,37.768578,-122.424838,8,200
"36 Harold Avenue","San Francisco",94112,37.71967,-122.452873,8,200
"317 Harriet Street #23","San Francisco",94103,37.775404,-122.402804,8,200
